342,DeJuan Blair,2010,2016,F-C,6-7,270,22-Apr-89,University of Pittsburgh
343,Steve Blake,2004,2016,G,6-3,172,26-Feb-80,University of Maryland
344,Antonio Blakeney,2018,2018,G,6-4,197,4-Oct-96,Louisiana State University
345,Will Blalock,2007,2007,G,6-1,205,8-Sep-83,Iowa State University
347,Lance Blanks,1991,1993,G,6-4,190,9-Sep-66,University of Texas at Austin
348,Ricky Blanton,1993,1993,F,6-7,215,21-Apr-66,Louisiana State University
349,Andray Blatche,2006,2014,F,6-11,235,22-Aug-86,
350,Mookie Blaylock,1990,2002,G,6-1,180,20-Mar-67,University of Oklahoma
351,Eric Bledsoe,2011,2018,G,6-1,205,9-Dec-89,University of Kentucky
355,Corie Blount,1994,2004,F,6-9,240,4-Jan-69,University of Cincinnati
356,Mark Blount,2001,2009,C,7-1,230,30-Nov-75,University of Pittsburgh
357,Vander Blue,2014,2018,G,6-4,200,17-Jul-92,Marquette University
360,Tony Bobbitt,2005,2005,G,6-4,190,22-Oct-79,University of Cincinnati
363,Keith Bogans,2004,2014,G-F,6-5,215,12-May-80,University of Kentucky
364,Bogdan Bogdanovic,2018,2018,G,6-6,205,18-Aug-92,
365,Bojan Bogdanovic,2015,2018,G-F,6-8,216,18-Apr-89,
366,Muggsy Bogues,1988,2001,G,5-3,136,9-Jan-65,Wake Forest University
367,Andrew Bogut,2006,2018,C,7-1,260,28-Nov-84,University of Utah
368,Etdrick Bohannon,1998,2001,F,6-9,220,29-May-73,Auburn University at Montgomery
369,Manute Bol,1986,1995,C,7-7,200,16-Oct-62,University of Bridgeport
371,Joel Bolomboy,2017,2018,F,6-9,235,28-Jan-94,Weber State University
375,Walter Bond,1993,1995,G,6-5,200,1-Feb-69,University of Minnesota
376,Dexter Boney,1997,1997,G,6-4,185,27-Apr-70,"University of Nevada, Las Vegas"
378,Anthony Bonner,1991,1996,F,6-8,215,8-Jun-68,Saint Louis University
379,Matt Bonner,2005,2016,F,6-10,235,5-Apr-80,University of Florida
381,Devin Booker,2016,2018,G,6-6,206,30-Oct-96,University of Kentucky
382,Melvin Booker,1996,1997,G,6-1,185,20-Aug-72,University of Missouri
383,Trevor Booker,2011,2018,F,6-8,228,25-Nov-87,Clemson University
384,Josh Boone,2007,2010,F-C,6-10,237,21-Nov-84,University of Connecticut
386,Calvin Booth,2000,2009,C,6-11,230,7-May-76,Pennsylvania State University
387,Keith Booth,1998,1999,F,6-6,226,9-Oct-74,University of Maryland
389,Carlos Boozer,2003,2015,F-C,6-9,258,20-Nov-81,Duke University
390,Curtis Borchardt,2004,2005,C,7-1,240,13-Sep-80,Stanford University
392,Lazaro Borrell,2000,2000,F,6-8,220,20-Sep-72,
395,Chris Bosh,2004,2016,F-C,6-11,235,24-Mar-84,Georgia Institute of Technology
399,Ruben Boumtje-Boumtje,2002,2004,C,7-1,257,20-May-78,Georgetown University
401,Cal Bowdler,2000,2002,F,6-10,245,31-Mar-77,Old Dominion University
402,Bruce Bowen,1997,2009,F,6-7,185,14-Jun-71,"California State University, Fullerton"
403,Ryan Bowen,2000,2010,F,6-7,215,20-Nov-75,University of Iowa
405,Anthony Bowie,1989,1998,G-F,6-6,190,9-Nov-63,University of Oklahoma
406,Sam Bowie,1985,1995,C-F,7-1,235,17-Mar-61,University of Kentucky
408,Ira Bowman,2000,2002,G,6-5,195,11-Jun-73,University of Pennsylvania
410,Donnie Boyce,1996,1997,G,6-5,196,2-Sep-73,University of Colorado
414,Earl Boykins,1999,2012,G,5-5,135,2-Jun-76,Eastern Michigan University
417,Cedric Bozeman,2007,2007,G,6-6,207,7-Mar-83,"University of California, Los Angeles"
419,Craig Brackins,2011,2012,F,6-10,230,9-Oct-87,Iowa State University
423,Avery Bradley,2011,2018,G,6-2,180,26-Nov-90,University of Texas at Austin
427,Dudley Bradley,1980,1989,G-F,6-6,195,19-Mar-57,University of North Carolina
430,Michael Bradley,2002,2006,F-C,6-10,245,18-Apr-79,Villanova University
431,Shawn Bradley,1994,2005,C,7-6,235,22-Mar-72,Brigham Young University
432,Tony Bradley,2018,2018,F-C,6-11,240,8-Jan-98,University of North Carolina
433,Mark Bradtke,1997,1997,C-F,6-10,265,27-Sep-68,
434,Marques Bragg,1996,1996,F,6-8,230,24-Mar-70,Providence College
435,Torraye Braggs,2004,2005,F,6-8,245,15-May-76,Xavier University
436,A.J. Bramlett,2000,2000,C,6-10,227,10-Jan-77,University of Arizona
437,Adrian Branch,1987,1990,F-G,6-7,185,17-Nov-63,University of Maryland
438,Elton Brand,2000,2016,F,6-8,275,11-Mar-79,Duke University
439,Terrell Brandon,1992,2002,G,5-11,180,20-May-70,University of Oregon
444,Mike Bratz,1978,1986,G,6-2,185,17-Oct-55,Stanford University
446,Tim Breaux,1995,1998,F,6-7,215,19-Sep-70,University of Wyoming
447,J.R. Bremer,2003,2004,G,6-2,185,19-Sep-80,St. Bonaventure University
450,Randy Breuer,1984,1994,C,7-3,230,11-Oct-60,University of Minnesota
451,Corey Brewer,2008,2018,F-G,6-9,186,5-Mar-86,University of Florida
452,Jamison Brewer,2002,2005,G,6-4,184,19-Nov-80,Auburn University
454,Ron Brewer,1979,1986,G,6-4,180,16-Sep-55,University of Arkansas
455,Ronnie Brewer,2007,2014,G-F,6-7,220,20-Mar-85,University of Arkansas
456,Primoz Brezec,2002,2010,C,7-2,252,2-Oct-79,
458,Frank Brickowski,1985,1997,F-C,6-9,240,14-Aug-59,Pennsylvania State University
459,Junior Bridgeman,1976,1987,F-G,6-5,210,17-Sep-53,University of Louisville
467,Mike Brittain,1986,1987,C,7-1,235,21-Jun-63,University of South Carolina
469,Jon Brockman,2010,2012,F,6-7,255,20-Mar-87,University of Washington
471,Malcolm Brogdon,2017,2018,G,6-5,215,11-Dec-92,University of Virginia
475,Aaron Brooks,2008,2018,G,6-1,161,14-Jan-85,University of Oregon
476,Dillon Brooks,2018,2018,G-F,6-6,220,22-Jan-96,University of Oregon
477,Kevin Brooks,1992,1994,F,6-6,200,12-Oct-69,University of Louisiana at Lafayette
478,MarShon Brooks,2012,2014,G-F,6-5,200,26-Jan-89,Providence College
479,Michael Brooks,1981,1988,F,6-7,220,17-Aug-58,La Salle University
480,Scott Brooks,1989,1998,G,5-11,165,31-Jul-65,"University of California, Irvine"
481,Andre Brown,2007,2009,F,6-9,245,12-May-81,DePaul University
482,Anthony Brown,2016,2017,F-G,6-7,210,10-Oct-92,Stanford University
484,Bobby Brown,2009,2018,G,6-2,175,24-Sep-84,"California State University, Fullerton"
485,Chucky Brown,1990,2002,F,6-7,214,29-Feb-68,North Carolina State University
486,Damone Brown,2002,2005,F,6-9,200,28-Jun-79,Syracuse University
488,Dee Brown,1991,2002,G,6-1,160,29-Nov-68,Jacksonville University
489,Dee Brown,2007,2009,G,6-1,185,17-Aug-84,University of Illinois at Urbana-Champaign
